season_id,week,guest,home,guest_starters_score,home_starters_score,type,end_type,guest_bench_score,home_bench_score,final_winner,home_advantage
2005,1,PIR,GT,95,44,SEASON,REGULAR,\N,\N,GUEST,Y
2005,1,TIZ,GAN,86,68,SEASON,REGULAR,\N,\N,GUEST,Y
2005,1,SAL,GUE,65,43,SEASON,REGULAR,\N,\N,GUEST,Y
2005,1,COL,CHA,96,65,SEASON,REGULAR,\N,\N,GUEST,Y
2005,1,PUM,CA,93,73,SEASON,REGULAR,\N,\N,GUEST,Y
2005,2,PIR,GAN,65,98,SEASON,REGULAR,\N,\N,HOME,Y
2005,2,COL,GT,106,70,SEASON,REGULAR,\N,\N,GUEST,Y
2005,2,PUM,TIZ,82,80,SEASON,REGULAR,\N,\N,GUEST,Y
2005,2,CHA,SAL,49,94,SEASON,REGULAR,\N,\N,HOME,Y
2005,2,CA,GUE,63,40,SEASON,REGULAR,\N,\N,GUEST,Y
2005,3,GAN,GUE,90,24,SEASON,REGULAR,\N,\N,GUEST,Y
2005,3,COL,PIR,51,70,SEASON,REGULAR,\N,\N,HOME,Y
2005,3,PUM,GT,81,120,SEASON,REGULAR,\N,\N,HOME,Y
2005,3,TIZ,CHA,90,54,SEASON,REGULAR,\N,\N,GUEST,Y
2005,3,CA,SAL,62,88,SEASON,REGULAR,\N,\N,HOME,Y
2005,4,PIR,SAL,67,100,SEASON,REGULAR,\N,\N,HOME,Y
2005,4,GT,CA,57,65,SEASON,REGULAR,\N,\N,HOME,Y
2005,4,GUE,TIZ,105,55,SEASON,REGULAR,\N,\N,GUEST,Y
2005,4,GAN,COL,96,107,SEASON,REGULAR,\N,\N,HOME,Y
2005,4,CHA,PUM,77,47,SEASON,REGULAR,\N,\N,GUEST,Y
2005,5,GT,GUE,71,43,SEASON,REGULAR,\N,\N,GUEST,Y
2005,5,TIZ,PIR,61,47,SEASON,REGULAR,\N,\N,GUEST,Y
2005,5,SAL,COL,91,64,SEASON,REGULAR,\N,\N,GUEST,Y
2005,5,PUM,GAN,88,88,SEASON,BENCH,1,0,GUEST,Y
2005,5,CA,CHA,84,62,SEASON,REGULAR,\N,\N,GUEST,Y
2005,6,TIZ,GT,56,93,SEASON,REGULAR,\N,\N,HOME,Y
2005,6,GUE,SAL,40,87,SEASON,REGULAR,\N,\N,HOME,Y
2005,6,GAN,CHA,81,62,SEASON,REGULAR,\N,\N,GUEST,Y
2005,6,COL,CA,60,48,SEASON,REGULAR,\N,\N,GUEST,Y
