season_id,week,guest,home,guest_starters_score,home_starters_score,type,end_type,guest_bench_score,home_bench_score,win_type,home_advantage
2020,1,SKY,VIL,56,47,SEASON,REGULAR,,,GUEST,Y
2020,1,PD,TIZ,40,52,SEASON,REGULAR,,,HOME,Y
2020,1,PIR,BRO,42,46,SEASON,REGULAR,,,HOME,Y
2020,1,GAN,PAT,44,47,SEASON,REGULAR,,,HOME,Y
2020,1,CHA,GOA,37,45,SEASON,REGULAR,,,HOME,Y
2020,1,ARR,COL,30,46,SEASON,REGULAR,,,HOME,Y
2020,1,CAF,GT,29,63,SEASON,REGULAR,,,HOME,Y
2020,1,TRO,SAL,43,62,SEASON,REGULAR,,,HOME,Y
2020,2,GT,CHA,31,51,SEASON,REGULAR,,,HOME,Y
2020,2,GOA,BRO,37,53,SEASON,REGULAR,,,HOME,Y
2020,2,VIL,TRO,37,55,SEASON,REGULAR,,,HOME,Y
2020,2,CAF,COL,38,45,SEASON,REGULAR,,,HOME,Y
2020,2,PIR,PAT,37,30,SEASON,REGULAR,,,GUEST,Y
2020,2,SKY,TIZ,40,53,SEASON,REGULAR,,,HOME,Y
2020,2,GAN,PD,67,43,SEASON,REGULAR,,,GUEST,Y
2020,2,SAL,ARR,75,51,SEASON,REGULAR,,,GUEST,Y
2020,3,GAN,PIR,33,61,SEASON,REGULAR,,,HOME,Y
2020,3,PAT,GOA,38,37,SEASON,REGULAR,,,GUEST,Y
2020,3,TRO,ARR,57,41,SEASON,REGULAR,,,GUEST,Y
2020,3,TIZ,CAF,36,53,SEASON,REGULAR,,,HOME,Y
2020,3,CHA,SAL,75,75,SEASON,BENCH,25,10,GUEST,Y
2020,3,PD,SKY,35,42,SEASON,REGULAR,,,HOME,Y
2020,3,GT,COL,41,60,SEASON,REGULAR,,,HOME,Y
2020,3,BRO,VIL,55,34,SEASON,REGULAR,,,GUEST,Y
2020,4,SAL,BRO,52,60,SEASON,REGULAR,,,HOME,Y
2020,4,SKY,TRO,17,58,SEASON,REGULAR,,,HOME,Y
2020,4,VIL,ARR,40,53,SEASON,REGULAR,,,HOME,Y
2020,4,COL,TIZ,38,46,SEASON,REGULAR,,,HOME,Y
2020,4,GOA,GAN,39,37,SEASON,REGULAR,,,GUEST,Y
2020,4,PAT,CHA,32,43,SEASON,REGULAR,,,HOME,Y
2020,4,PIR,CAF,47,32,SEASON,REGULAR,,,GUEST,Y
2020,4,PD,GT,27,51,SEASON,REGULAR,,,HOME,Y
2020,5,CHA,PIR,51,44,SEASON,REGULAR,,,GUEST,Y
2020,5,TIZ,PD,24,43,SEASON,REGULAR,,,HOME,Y
2020,5,BRO,GT,19,48,SEASON,REGULAR,,,HOME,Y
2020,5,COL,TRO,35,31,SEASON,REGULAR,,,GUEST,Y
2020,5,GAN,CAF,67,39,SEASON,REGULAR,,,GUEST,Y
2020,5,ARR,PAT,38,37,SEASON,REGULAR,,,GUEST,Y
2020,5,GOA,SKY,25,42,SEASON,REGULAR,,,HOME,Y
2020,5,VIL,SAL,40,52,SEASON,REGULAR,,,HOME,Y
2020,6,GAN,CHA,49,31,SEASON,REGULAR,,,GUEST,Y
2020,6,PAT,SAL,22,22,SEASON,BENCH,24,20,GUEST,Y
2020,6,ARR,SKY,36,22,SEASON,REGULAR,,,GUEST,Y
2020,6,PD,COL,40,43,SEASON,REGULAR,,,HOME,Y
2020,6,GOA,PIR,37,21,SEASON,REGULAR,,,GUEST,Y
2020,6,VIL,CAF,49,37,SEASON,REGULAR,,,GUEST,Y
2020,6,GT,TIZ,45,45,SEASON,BENCH,36,28,GUEST,Y
2020,6,BRO,TRO,26,47,SEASON,REGULAR,,,HOME,Y
2020,7,PIR,GT,46,16,SEASON,REGULAR,,,GUEST,Y
2020,7,COL,CAF,32,62,SEASON,REGULAR,,,HOME,Y
2020,7,SAL,GAN,42,51,SEASON,REGULAR,,,HOME,Y
2020,7,BRO,CHA,36,44,SEASON,REGULAR,,,HOME,Y
2020,7,TIZ,TRO,42,40,SEASON,REGULAR,,,GUEST,Y
2020,7,PD,ARR,33,37,SEASON,REGULAR,,,HOME,Y
2020,7,SKY,PAT,27,36,SEASON,REGULAR,,,HOME,Y
2020,7,VIL,GOA,35,63,SEASON,REGULAR,,,HOME,Y
2020,8,GAN,BRO,32,37,SEASON,REGULAR,,,HOME,Y
2020,8,GT,SAL,45,42,SEASON,REGULAR,,,GUEST,Y
2020,8,ARR,TIZ,27,42,SEASON,REGULAR,,,HOME,Y
2020,8,CAF,SKY,26,41,SEASON,REGULAR,,,HOME,Y
2020,8,PIR,PD,30,29,SEASON,REGULAR,,,GUEST,Y
2020,8,CHA,COL,65,37,SEASON,REGULAR,,,GUEST,Y
2020,8,PAT,VIL,34,50,SEASON,REGULAR,,,HOME,Y
